date,model,lead,forecast_tmax
2026-08-18,GFS,D-1,32.7
2026-08-18,GFS,D-2,33.6
2026-08-18,GFS,D-3,34.5
2026-08-19,ECMWF,D-1,32.5
2026-08-19,ECMWF,D-2,33.5
2026-08-19,ECMWF,D-3,33.7
2026-08-19,ICON,D-1,33.9
2026-08-19,ICON,D-2,33.7
2026-08-19,ICON,D-3,33.3
2026-08-19,GFS,D-1,35.8
2026-08-19,GFS,D-2,35.6
2026-08-19,GFS,D-3,34.9
2026-08-20,ECMWF,D-1,26.3
2026-08-20,ECMWF,D-2,25.0
2026-08-20,ECMWF,D-3,25.0
2026-08-20,ICON,D-1,29.8
2026-08-20,ICON,D-2,25.6
2026-08-20,ICON,D-3,24.2
2026-08-20,GFS,D-1,27.0
2026-08-20,GFS,D-2,30.4
2026-08-20,GFS,D-3,33.3
2026-08-21,ECMWF,D-1,23.9
2026-08-21,ECMWF,D-2,22.6
2026-08-21,ECMWF,D-3,22.5
2026-08-21,ICON,D-1,23.6
2026-08-21,ICON,D-2,24.3
2026-08-21,ICON,D-3,24.7
2026-08-21,GFS,D-1,22.5
2026-08-21,GFS,D-2,23.0
2026-08-21,GFS,D-3,23.3
2026-08-22,ECMWF,D-1,26.2
2026-08-22,ECMWF,D-2,26.4
2026-08-22,ECMWF,D-3,26.2
2026-08-22,ICON,D-1,30.2
2026-08-22,ICON,D-2,30.0
2026-08-22,ICON,D-3,28.5
2026-08-22,GFS,D-1,27.0
2026-08-22,GFS,D-2,27.8
2026-08-22,GFS,D-3,27.7
2026-08-23,ECMWF,D-1,26.4
2026-08-23,ECMWF,D-2,26.7
2026-08-23,ECMWF,D-3,26.5
2026-08-23,ICON,D-1,29.6
2026-08-23,ICON,D-2,29.5
2026-08-23,ICON,D-3,29.1
2026-08-23,GFS,D-1,27.6
2026-08-23,GFS,D-2,27.6
2026-08-23,GFS,D-3,28.5
2026-08-24,ECMWF,D-1,27.6
2026-08-24,ECMWF,D-2,27.4
2026-08-24,ECMWF,D-3,27.2
2026-08-24,ICON,D-1,30.3
2026-08-24,ICON,D-2,30.2
2026-08-24,ICON,D-3,30.7
2026-08-24,GFS,D-1,28.8
2026-08-24,GFS,D-2,29.3
2026-08-24,GFS,D-3,29.1
2026-08-25,ECMWF,D-1,26.4
2026-08-25,ECMWF,D-2,25.9
2026-08-25,ECMWF,D-3,26.7
2026-08-25,ICON,D-1,28.7
2026-08-25,ICON,D-2,28.0
2026-08-25,ICON,D-3,28.6
2026-08-25,GFS,D-1,28.3
2026-08-25,GFS,D-2,27.9
2026-08-25,GFS,D-3,27.9
2026-08-26,ECMWF,D-1,28.3
2026-08-26,ECMWF,D-2,28.6
2026-08-26,ECMWF,D-3,28.6
2026-08-26,ICON,D-1,31.1
2026-08-26,ICON,D-2,30.4
2026-08-26,ICON,D-3,30.4
2026-08-26,GFS,D-1,29.5
2026-08-26,GFS,D-2,30.2
2026-08-26,GFS,D-3,29.6
2026-08-27,ECMWF,D-1,29.7
2026-08-27,ECMWF,D-2,29.6
2026-08-27,ECMWF,D-3,30.4
2026-08-27,ICON,D-1,32.1
2026-08-27,ICON,D-2,31.7
2026-08-27,ICON,D-3,30.5
2026-08-27,GFS,D-1,30.3
2026-08-27,GFS,D-2,30.6
2026-08-27,GFS,D-3,31.1
2026-08-28,ECMWF,D-1,30.8
2026-08-28,ECMWF,D-2,30.6
2026-08-28,ECMWF,D-3,29.2
2026-08-28,ICON,D-1,31.3
2026-08-28,ICON,D-2,28.6
2026-08-28,ICON,D-3,30.1
2026-08-28,GFS,D-1,30.3
2026-08-28,GFS,D-2,32.5
2026-08-28,GFS,D-3,31.7
2026-08-29,ECMWF,D-1,29.1
2026-08-29,ECMWF,D-2,29.4
2026-08-29,ECMWF,D-3,29.4
2026-08-29,ICON,D-1,30.9
2026-08-29,ICON,D-2,30.1
2026-08-29,ICON,D-3,30.1
2026-08-29,GFS,D-1,28.6
2026-08-29,GFS,D-2,29.2
2026-08-29,GFS,D-3,29.9
2026-08-30,ECMWF,D-1,30.6
2026-08-30,ECMWF,D-2,30.2
2026-08-30,ECMWF,D-3,30.3
2026-08-30,ICON,D-1,30.6
2026-08-30,ICON,D-2,30.6
2026-08-30,ICON,D-3,30.4
2026-08-30,GFS,D-1,29.9
2026-08-30,GFS,D-2,30.5
2026-08-30,GFS,D-3,29.6
2026-08-31,ECMWF,D-1,32.2
2026-08-31,ECMWF,D-2,31.9
2026-08-31,ECMWF,D-3,31.5
2026-08-31,ICON,D-1,32.4
2026-08-31,ICON,D-2,31.4
2026-08-31,ICON,D-3,31.5
2026-08-31,GFS,D-1,31.6
2026-08-31,GFS,D-2,31.0
2026-08-31,GFS,D-3,31.6
